abacavir (sulfato),Glaxosmithkline,ZIAGENAVIR,101070234,20 mg/mL,sol oral,30/11/2012
abacavir (sulfato),Glaxosmithkline,ZIAGENAVIR,101070234,300 mg,com rev,30/11/2012
abiraterona (acetato),Janssen Cilag,ZYTIGA,112363401,250mg,com,02/08/2013
abiraterona (acetato),Janssen Cilag,ZYTIGA,112363420,500mg,com rev,31/10/2019
acalabrutinibe,Astrazeneca,CALQUENCE,116180269,100mg,cap dura,27/12/2019
acebrofilina,Aché,BRONDILAT,105730127,5mg/mL,xpe,07/10/2013
acebrofilina,Aché,BRONDILAT,105730127,10 mg/mL,xpe,07/10/2013
acebrofilina,Eurofarma,FILINAR G,100431086,5mg/ml,gel or,29/10/2014
aceclofenaco,Eurofarma,PROFLAM,100430817,100mg,com rev,12/11/2012
aceclofenaco,Eurofarma,PROFLAM,100430817,15mg/g,crem derm,12/11/2012
acetato de fluormetolona,Novartis,FLORATE,100681096,1mg/ mL,sol oft,25/11/2016
acetato de glatiramer,Teva Farmacêutica,COPAXONE,155730001,20mg/mL,sol inj,28/09/2016
acetato de glatiramer,Teva Farmacêutica,COPAXONE,155730001,40mg/mL,sol inj,21/12/2018
acetato de nomegrestol,Teva,LUTENIL,155730020,5 mg,com,23/06/2016
acetazolamida,União Química,DIAMOX,104970289,250 mg,com,31/01/2013
acetilcisteína,Eurofarma,acetilcisteína,100430772,100mg,gran,27/06/2019
acetilcisteína,Zambon,FLUIMUCIL,100840075,200mg,gran,12/11/2012
acetilcisteína,Zambon,FLUIMUCIL,100840075,600mg,gran,12/11/2012
acetilcisteína,Zambon,FLUIMUCIL,100840075,"11,5mg/ml",sol spr nas,12/11/2012
acetilcisteína,Zambon,FLUIMUCIL,100840075,20 mg/ml,xpe,12/11/2012
acetilcisteína,Zambon,FLUIMUCIL,100840075,40mg/ml,xpe,12/11/2012
acetilcisteína,Zambon,FLUIMUCIL,100840075,600mg,com efer,12/11/2012
acetilcisteína,Zambon,FLUIMUCIL,100840075,100mg/ml,sol inj,12/11/2012
aciclovir,Glaxosmithkline,ZOVIRAX,101070253,"0,03 g/g",pom oft,12/11/2012
aciclovir,Glaxosmithkline,ZOVIRAX,101070253,200 mg,com,12/11/2012
aciclovir,Glaxosmithkline,ZOVIRAX,101070253,250mg/10mL,pó liof sol inj,12/11/2012
aciclovir,Glaxosmithkline,ZOVIRAX,101070253,50 mg/g,crem derm,12/11/2012
aciclovir,Merck S/A,ACICLOVIR,100890334,400 mg,com,12/11/2012
